temperature,resistance
24.6,10177.18
24.65,10154.84
24.7,10132.55
24.75,10110.32
24.8,10088.15
24.85,10066.03
24.9,10043.96
24.95,10021.95
25,10000.00
25.05,9978.10
25.1,9956.25
25.15,9934.46
25.2,9912.73
25.25,9891.04
25.3,9869.41
25.35,9847.84
25.4,9826.31
25.45,9804.85
25.5,9783.43
25.55,9762.07
25.6,9740.76
25.65,9719.50
25.7,9698.29
25.75,9677.14
25.8,9656.04
25.85,9634.99
25.9,9614.00
25.95,9593.06
26,9572.16
26.05,9551.32
26.1,9530.53
26.15,9509.80
26.2,9489.11
26.25,9468.48
26.3,9447.89
26.35,9427.36
26.4,9406.87
26.45,9386.44
26.5,9366.06
26.55,9345.73
26.6,9325.45
26.65,9305.21
26.7,9285.03
26.75,9264.90
26.8,9244.82
26.85,9224.78
26.9,9204.80
26.95,9184.86
27,9164.98
27.05,9145.14
27.1,9125.35
27.15,9105.61
27.2,9085.92
27.25,9066.28
27.3,9046.68
27.35,9027.13
27.4,9007.64
27.45,8988.18
27.5,8968.78
27.55,8949.42
27.6,8930.12
27.65,8910.85
27.7,8891.64
27.75,8872.47
27.8,8853.35
27.85,8834.28
27.9,8815.25
27.95,8796.27
28,8777.34
28.05,8758.45
28.1,8739.61
28.15,8720.81
28.2,8702.06
28.25,8683.36
28.3,8664.70
28.35,8646.09
28.4,8627.52
28.45,8609.00
28.5,8590.52
28.55,8572.09
28.6,8553.70
28.65,8535.36
28.7,8517.06
28.75,8498.81
28.8,8480.60
28.85,8462.44
28.9,8444.32
28.95,8426.24
29,8408.21
29.05,8390.22
29.1,8372.28
29.15,8354.38
29.2,8336.52
29.25,8318.70
29.3,8300.93
29.35,8283.21
29.4,8265.52
29.45,8247.88
29.5,8230.28
29.55,8212.72
29.6,8195.21
29.65,8177.74
29.7,8160.31
29.75,8142.92
29.8,8125.58
29.85,8108.27
29.9,8091.01
29.95,8073.79
30,8056.61
30.05,8039.48
30.1,8022.38
30.15,8005.33
30.2,7988.32
30.25,7971.35
30.3,7954.42
30.35,7937.53
30.4,7920.68
30.45,7903.87
30.5,7887.10
30.55,7870.37
30.6,7853.69
30.65,7837.04
30.7,7820.43
30.75,7803.87
30.8,7787.34
30.85,7770.85
30.9,7754.41
30.95,7738.00
31,7721.63
31.05,7705.30
31.1,7689.01
31.15,7672.76
31.2,7656.55
31.25,7640.38
31.3,7624.24
31.35,7608.15
31.4,7592.09
31.45,7576.07
31.5,7560.09
31.55,7544.15
31.6,7528.25
31.65,7512.39
31.7,7496.56
31.75,7480.77
31.8,7465.02
31.85,7449.31
31.9,7433.63
31.95,7417.99
32,7402.39
32.05,7386.83
32.1,7371.30
32.15,7355.81
32.2,7340.36
32.25,7324.94
32.3,7309.56
32.35,7294.22
32.4,7278.92
32.45,7263.65
32.5,7248.42
32.55,7233.22
32.6,7218.06
32.65,7202.94
32.7,7187.85
32.75,7172.80
32.8,7157.78
32.85,7142.80
32.9,7127.86
32.95,7112.95
33,7098.07
33.05,7083.24
33.1,7068.43
33.15,7053.67
33.2,7038.93
33.25,7024.24
33.3,7009.57
33.35,6994.95
33.4,6980.35
33.45,6965.79
33.5,6951.27
33.55,6936.78
33.6,6922.33
33.65,6907.90
33.7,6893.52
33.75,6879.17
33.8,6864.85
33.85,6850.56
33.9,6836.31
33.95,6822.09
34,6807.91
34.05,6793.76
34.1,6779.64
34.15,6765.56
34.2,6751.51
34.25,6737.49
34.3,6723.51
34.35,6709.56
34.4,6695.64
34.45,6681.76
34.5,6667.91
34.55,6654.09
34.6,6640.30
34.65,6626.55
34.7,6612.82
34.75,6599.14
34.8,6585.48
34.85,6571.85
34.9,6558.26
34.95,6544.70
35,6531.17
35.05,6517.67
35.1,6504.21
35.15,6490.77
35.2,6477.37
35.25,6464.00
35.3,6450.66
35.35,6437.35
35.4,6424.08
35.45,6410.83
35.5,6397.62
35.55,6384.43
35.6,6371.28
35.65,6358.16
35.7,6345.07
35.75,6332.01
35.8,6318.98
35.85,6305.98
35.9,6293.01
35.95,6280.07
36,6267.17
36.05,6254.29
36.1,6241.44
36.15,6228.62
36.2,6215.83
36.25,6203.08
36.3,6190.35
36.35,6177.65
36.4,6164.98
36.45,6152.34
36.5,6139.73
36.55,6127.15
36.6,6114.60
36.65,6102.08
36.7,6089.59
36.75,6077.13
36.8,6064.69
36.85,6052.29
36.9,6039.91
36.95,6027.56
37,6015.25
37.05,6002.96
37.1,5990.70
37.15,5978.46
37.2,5966.26
37.25,5954.08
37.3,5941.93
37.35,5929.82
37.4,5917.72
37.45,5905.66
37.5,5893.63
37.55,5881.62
37.6,5869.64
37.65,5857.69
37.7,5845.76
37.75,5833.87
37.8,5822.00
37.85,5810.16
37.9,5798.35
37.95,5786.56
38,5774.80
38.05,5763.07
38.1,5751.36
38.15,5739.69
38.2,5728.04
38.25,5716.41
38.3,5704.82
38.35,5693.25
38.4,5681.70
38.45,5670.19
38.5,5658.70
38.55,5647.23
38.6,5635.80
38.65,5624.39
38.7,5613.00
38.75,5601.65
38.8,5590.31
38.85,5579.01
38.9,5567.73
38.95,5556.48
39,5545.25
39.05,5534.05
39.1,5522.87
39.15,5511.72
39.2,5500.60
39.25,5489.50
39.3,5478.42
39.35,5467.38
39.4,5456.35
39.45,5445.36
39.5,5434.38
39.55,5423.44
39.6,5412.52
39.65,5401.62
39.7,5390.75
39.75,5379.90
39.8,5369.08
39.85,5358.28
39.9,5347.51
39.95,5336.76
40,5326.04
40.05,5315.34
40.1,5304.67
40.15,5294.02
40.2,5283.40
40.25,5272.80
40.3,5262.22
40.35,5251.67
40.4,5241.14
40.45,5230.64
40.5,5220.16
40.55,5209.70
40.6,5199.27
40.65,5188.86
40.7,5178.48
40.75,5168.12
40.8,5157.78
40.85,5147.46
40.9,5137.17
40.95,5126.91
41,5116.67
41.05,5106.45
41.1,5096.25
41.15,5086.08
41.2,5075.93
41.25,5065.80
41.3,5055.70
41.35,5045.61
41.4,5035.56
41.45,5025.52
41.5,5015.51
41.55,5005.52
41.6,4995.55
41.65,4985.61
41.7,4975.69
41.75,4965.79
41.8,4955.91
41.85,4946.06
41.9,4936.23
41.95,4926.42
42,4916.63
42.05,4906.86
42.1,4897.12
42.15,4887.40
42.2,4877.70
42.25,4868.02
42.3,4858.37
42.35,4848.74
42.4,4839.12
42.45,4829.54
42.5,4819.97
42.55,4810.42
42.6,4800.90
42.65,4791.39
42.7,4781.91
42.75,4772.45
42.8,4763.01
42.85,4753.60
42.9,4744.20
42.95,4734.82
43,4725.47
43.05,4716.14
43.1,4706.83
43.15,4697.53
43.2,4688.26
43.25,4679.02
43.3,4669.79
43.35,4660.58
43.4,4651.39
43.45,4642.23
43.5,4633.08
43.55,4623.96
43.6,4614.85
43.65,4605.77
43.7,4596.71
43.75,4587.66
43.8,4578.64
43.85,4569.64
43.9,4560.66
43.95,4551.69
44,4542.75
44.05,4533.83
44.1,4524.93
44.15,4516.05
44.2,4507.18
44.25,4498.34
44.3,4489.52
44.35,4480.72
44.4,4471.93
44.45,4463.17
44.5,4454.43
44.55,4445.70
44.6,4437.00
44.65,4428.31
44.7,4419.65
44.75,4411.00
44.8,4402.37
44.85,4393.77
44.9,4385.18
44.95,4376.61
45,4368.06
45.05,4359.53
45.1,4351.02
45.15,4342.52
45.2,4334.05
45.25,4325.59
45.3,4317.16
45.35,4308.74
45.4,4300.34
45.45,4291.96
45.5,4283.60
45.55,4275.26
45.6,4266.93
45.65,4258.63
45.7,4250.34
45.75,4242.07
45.8,4233.82
45.85,4225.59
45.9,4217.38
45.95,4209.18
46,4201.00
46.05,4192.84
46.1,4184.70
46.15,4176.58
46.2,4168.47
46.25,4160.39
46.3,4152.32
46.35,4144.27
46.4,4136.23
46.45,4128.22
46.5,4120.22
46.55,4112.24
46.6,4104.28
46.65,4096.33
46.7,4088.41
46.75,4080.50
46.8,4072.60
46.85,4064.73
46.9,4056.87
46.95,4049.03
47,4041.21
47.05,4033.40
47.1,4025.62
47.15,4017.85
47.2,4010.09
47.25,4002.36
47.3,3994.64
47.35,3986.93
47.4,3979.25
47.45,3971.58
47.5,3963.93
47.55,3956.29
47.6,3948.67
47.65,3941.07
47.7,3933.49
47.75,3925.92
47.8,3918.37
47.85,3910.84
47.9,3903.32
47.95,3895.82
48,3888.33
48.05,3880.86
48.1,3873.41
48.15,3865.97
48.2,3858.56
48.25,3851.15
48.3,3843.77
48.35,3836.39
48.4,3829.04
48.45,3821.70
48.5,3814.38
48.55,3807.07
48.6,3799.78
48.65,3792.51
48.7,3785.25
48.75,3778.01
48.8,3770.78
48.85,3763.57
48.9,3756.38
48.95,3749.20
49,3742.03
49.05,3734.88
49.1,3727.75
49.15,3720.64
49.2,3713.53
49.25,3706.45
49.3,3699.38
49.35,3692.32
49.4,3685.28
49.45,3678.26
49.5,3671.25
49.55,3664.26
49.6,3657.28
49.65,3650.32
49.7,3643.37
49.75,3636.44
49.8,3629.52
49.85,3622.62
49.9,3615.73
49.95,3608.86
50,3602.00
